Date and Time,Rainfall units,Cumulative Rainfall  (cm) ,Rainfall (cm)
12/24/20 15:24,1,0.02,0.02
12/24/20 15:50,2,0.04,0.02
12/24/20 16:06,3,0.06,0.02
12/28/20 0:54,4,0.08,0.02
12/28/20 0:56,5,0.1,0.02
12/28/20 0:58,6,0.12,0.02
12/28/20 0:59,7,0.14,0.02
12/28/20 1:03,8,0.16,0.02
12/28/20 1:06,9,0.18,0.02
12/28/20 1:10,10,0.2,0.02
12/28/20 1:12,11,0.22,0.02
12/28/20 1:14,12,0.24,0.02
12/28/20 1:15,13,0.26,0.02
12/28/20 1:16,14,0.28,0.02
12/28/20 1:17,15,0.3,0.02
12/28/20 1:17,16,0.32,0.02
12/28/20 1:18,17,0.34,0.02
12/28/20 1:19,18,0.36,0.02
12/28/20 1:20,19,0.38,0.02
12/28/20 1:21,20,0.4,0.02
12/28/20 1:21,21,0.42,0.02
12/28/20 1:22,22,0.44,0.02
12/28/20 1:22,23,0.46,0.02
12/28/20 1:22,24,0.48,0.02
12/28/20 1:23,25,0.5,0.02
12/28/20 1:24,26,0.52,0.02
12/28/20 1:26,27,0.54,0.02
12/28/20 1:28,28,0.56,0.02
12/28/20 1:30,29,0.58,0.02
12/28/20 1:31,30,0.6,0.02
12/28/20 1:33,31,0.62,0.02
12/28/20 1:34,32,0.64,0.02
12/28/20 1:35,33,0.66,0.02
12/28/20 1:37,34,0.68,0.02
12/28/20 1:39,35,0.7,0.02
12/28/20 1:41,36,0.72,0.02
12/28/20 1:42,37,0.74,0.02
12/28/20 1:45,38,0.76,0.02
12/28/20 1:48,39,0.78,0.02
12/28/20 1:51,40,0.8,0.02
12/28/20 1:54,41,0.82,0.02
12/28/20 1:57,42,0.84,0.02
12/28/20 2:00,43,0.86,0.02
12/28/20 2:03,44,0.88,0.02
12/28/20 2:05,45,0.9,0.02
12/28/20 2:07,46,0.92,0.02
12/28/20 2:10,47,0.94,0.02
12/28/20 2:13,48,0.96,0.02
12/28/20 2:15,49,0.98,0.02
12/28/20 2:17,50,1,0.02
12/28/20 2:19,51,1.02,0.02
12/28/20 2:22,52,1.04,0.02
12/28/20 2:24,53,1.06,0.02
12/28/20 2:26,54,1.08,0.02
12/28/20 2:28,55,1.1,0.02
12/28/20 2:30,56,1.12,0.02
12/28/20 2:32,57,1.14,0.02
12/28/20 2:34,58,1.16,0.02
12/28/20 2:35,59,1.18,0.02
12/28/20 2:36,60,1.2,0.02
12/28/20 2:38,61,1.22,0.02
