Date,Time,Location,Rain Sample ID,Rain (cm),Rain 𝛿18O,Rain SD 𝛿18O,Rain 𝛿D,Rain SD 𝛿D,Stream Sample ID,Stream 𝛿18O,Stream SD 𝛿18O,Stream 𝛿D,Stream SD 𝛿D,Cqj-Cqj-1,Cnew-Cqj-1,Fnew,Fnew %,SE,Cqj-Cqj-1 Error,Error,Error %
3/10/21,3:21,Henry,HR-1,0.22,-7.536316158,0.022586685,-39.49930627,0.098805735,,,,,,,,,,,,,
3/10/21,3:48,Henry,HR-2,0.12,-8.815325969,0.017822497,-50.70860723,0.030705978,,,,,,,,,,,,,
3/10/21,4:17,Henry,HR-3,0.1,-8.565841796,0.024479622,-47.76202128,0.103728933,,,,,,,,,,,,,
3/10/21,5:06,Henry,HR-4,0.1,-7.985800965,0.03159329,-43.36387021,0.017074644,,,,,,,,,,,,,
3/10/21,5:36,Henry,HR-5,0.2,-8.986151514,0.012875682,-50.54302075,0.004722354,,,,,,,,,,,,,
3/10/21,6:03,Henry,HR-6,0.08,-9.311505368,0.005546792,-54.53169039,0.02864005,,,,,,,,,,,,,
3/10/21,6:34,Henry,HR-7,0.02,-9.560831191,0.033170942,-56.37230697,0.023852262,,,,,,,,,,,,,
3/10/21,7:06,Henry,HR-8,0.02,-8.995665411,0.009486693,-52.47644352,0.029416891,,,,,,,,,,,,,
3/10/21,11:20,Henry,HR-9,0.02,-8.000445418,0.024902398,-44.5240974,0.167956556,,,,,,,,,,,,,
3/10/21,14:03,Henry,HR-10,0.02,-6.095533505,0.04419334,-33.38917005,0.100070652,,,,,,,,,,,,,
3/10/21,14:30,Henry,HR-11,0.16,-5.539292754,0.036039827,-26.2271205,0.132165147,,,,,,,,,,,,,
3/10/21,14:53,Henry,HR-12,0.02,-5.58367345,0.016068311,-24.87528127,0.087173078,,,,,,,,,,,,,
3/10/21,17:47,Henry,HR-13,0.12,-7.24249286,0.012100902,-33.72290881,0.078636677,,,,,,,,,,,,,
3/10/21,23:10,Henry,HR-14,0.22,-7.570160611,0.078761761,-38.74347339,0.319884384,HS-1,-7.0848139,0.01950537,-34.937222,0.12135081,,,,,,,,
3/10/21,23:48,Henry,HR-15,0.14,-9.8317165,0.0435822,-55.568733,0.08175908,HS-2,-7.671324805,0.009909209,-42.61658782,0.032991779,-0.586510905,-2.7469026,0.213517183,21.35171829,0.15,0.212132034,0.369837369,37
3/10/21,3:06,Louise,LR-1,0.22,-14.33321052,0.036386859,-101.9079549,0.148771245,LS-1,-7.1110788,0.0302401,-38.148589,0.07232818,,,,,,,,
3/10/21,3:36,Louise,LR-2,0.2,-4.558562646,0.009383902,-36.74007869,0.192347086,,,,,,,,,,,,,
3/10/21,4:03,Louise,LR-3,0.1,-13.11608689,0.017319779,-90.69733873,0.21771699,,,,,,,,,,,,,
3/10/21,4:33,Louise,LR-4,0.06,-7.627627269,0.008366078,-48.110129,0.138342444,,,,,,,,,,,,,
3/10/21,5:24,Louise,LR-5,0.22,-7.51390637,0.017685896,-47.04674767,0.006097296,LS-2,-7.968959394,0.009783735,-44.31329006,0.049668385,,,,,,,,
3/10/21,5:50,Louise,LR-6,0.1,-13.15911849,0.01588082,-90.92408432,0.131119937,,,,,,,,,,,,,
3/10/21,6:15,Louise,LR-7,0.04,-9.340145606,0.023110187,-59.9429382,0.082203892,,,,,,,,,,,,,
3/10/21,6:48,Louise,LR-8,0.2,-7.659124352,0.027569659,-47.88018437,0.044759326,,,,,,,,,,,,,
3/10/21,11:38,Louise,LR-9,0.02,-8.165489051,0.009089747,-51.97516361,0.008086367,,,,,,,,,,,,,
3/10/21,14:17,Louise,LR-10,0.06,-7.718003513,0.018839764,-48.04378796,0.033067523,,,,,,,,,,,,,
3/10/21,14:42,Louise,LR-11,0.12,-14.2387672,0.004643609,-99.80843925,0.140871408,,,,,,,,,,,,,
3/10/21,17:28,Louise,LR-12,0.12,-8.718789048,0.009111409,-54.97842098,0.123666924,,,,,,,,,,,,,
3/10/21,22:56,Louise,LR-13,0.16,-10.56983375,0.020122261,-77.83822073,0.367610802,LS-3,-7.231573595,0.026987522,-39.33220887,0.075993814,,,,,,,,
3/10/21,23:31,Louise,LR-14,0.16,-7.501001875,0.023139553,-48.08597913,0.033044739,LS-4,-7.816414425,0.062316276,-45.62988744,0.216557938,-0.58484083,-0.269428279,2.170673515,217.0673515,0.15,0.212132034,0.866873969,87
